Год;США;Китай;Япония;Великобритания;Россия;Украина;КНДР
2022;8;9;3;1;6;0;0
2020;39;38;27;22;20;1;0
2018;9;1;4;5;2;1;0
2016;46;26;12;27;19;2;2
2014;9;0;0;1;13;1;0
2012;46;38;7;29;22;6;4
